term,term_difference,en_tf,sm_tf
is,-0.00832959301724,0.0187891266284,0.0271187196457
it,-0.00536216893387,0.00754690643596,0.0129090753698
are,-0.00216598666109,0.0076625983571,0.00982858501819
can,-0.00213731855742,0.00465536704305,0.00679268560047
they,-0.00197090889568,0.00171527497504,0.00368618387072
computer,-0.00195907959308,0.00131092222772,0.0032700018208
that,-0.00178647987847,0.00934638995688,0.0111328698353
make,-0.00174247461335,0.000561390305852,0.0023038649192
called,-0.00152786523501,0.00115502262251,0.00268288785752
energy,-0.00141884760147,0.00347872330741,0.00489757090887
electron,-0.00129741550678,0.00112164265838,0.00241905816516
used,-0.00127281005824,0.00322344244536,0.0044962525036
when,-0.00123926083014,0.00189696818889,0.00313622901904
light,-0.00122008378679,0.00106891748776,0.00228900127456
thing,-0.00120157398206,8.04153681355e-05,0.0012819893502
people,-0.00120019731393,0.000312178528186,0.00151237584212
nuclear,-0.0011984979495,0.00139892395134,0.00259742190084
like,-0.00118682297992,0.000585666643402,0.00177248962332
this,-0.00117906334759,0.00527175842617,0.00645082177375
or,-0.00111361063661,0.0066972346217,0.00781084525831
made,-0.00110373134195,0.000724496948768,0.00182822829072
how,-0.00108310046396,0.000332661687994,0.00141576215196
atom,-0.00106572931308,0.000747635332995,0.00181336464608
time,-0.00104054782271,0.00276826111629,0.003808808939
there,-0.00102915355868,0.00141220007344,0.00244135363212
because,-0.00102769230861,0.00106436567447,0.00209205798308
object,-0.000974250493186,0.000805670952452,0.00177992144564
he,-0.000954294269255,0.0010374341125,0.00199172838176
an,-0.000941954663013,0.00560176488974,0.00654371955275
one,-0.000928670024649,0.00262374104431,0.00355241106896
physic,-0.000914725563106,0.000590218456693,0.0015049440198
electricity,-0.000911690920837,0.000392593896322,0.00130428481716
you,-0.000909147938609,9.78639857498e-05,0.00100701192436
very,-0.000868989760802,0.000810602083517,0.00167959184432
will,-0.000860673230618,0.00154723720106,0.00240791043168
same,-0.000840112604077,0.00117019533348,0.00201030793756
way,-0.000827060966363,0.000588701185596,0.00141576215196
do,-0.000823134300867,0.000544321006011,0.00136745530688
if,-0.000819840398755,0.001636376878,0.00245621727676
wa,-0.000801641661859,0.0046458840987,0.00544752576055
we,-0.000791215386661,0.000524217163978,0.00131543255064
force,-0.000786038825877,0.0013803373804,0.00216637620628
different,-0.000776717229672,0.000962329193206,0.00173904642288
many,-0.000740049978264,0.00126654204813,0.0020065920264
particle,-0.00073385462141,0.00160716940939,0.0023410240308
work,-0.000725769190446,0.000927811275752,0.0016535804662
up,-0.000725502214939,0.000831464561099,0.00155696677604
have,-0.000721070859881,0.00292795389923,0.00364902475912
other,-0.000704345501904,0.00243559942829,0.0031399449302
not,-0.000684649638644,0.00358493228419,0.00426958192284
part,-0.000669882904944,0.000716151957735,0.00138603486268
something,-0.000651022043137,5.50010772625e-05,0.000706023120399
some,-0.000624231884735,0.0019174513487,0.00254168323344
mean,-0.000621245848048,0.00058642527895,0.001207671127
use,-0.00061160897098,0.00180744919418,0.00241905816516
go,-0.000609128524534,0.000141485529786,0.000750614054319
change,-0.000604408548106,0.000993433250693,0.0015978417988
also,-0.000595284676716,0.0026635694106,0.00325885408732
out,-0.000591434277049,0.00060880502763,0.00120023930468
move,-0.000589495397206,0.000320902836993,0.000910398234199
year,-0.000577069807964,0.00149640861931,0.00207347842728
electric,-0.000563126046948,0.00086749974965,0.0014306257966
ha,-0.000561462058426,0.00246328962581,0.00302475168424
about,-0.000546527461814,0.00104388251466,0.00159040997648
type,-0.000541209897762,0.000867120431876,0.00140833032964
example,-0.000538590049254,0.0013788201093,0.00191741015856
most,-0.000536911229855,0.00140651030682,0.00194342153668
say,-0.000502954623436,0.000154761651883,0.000657716275319
so,-0.000500131335954,0.00120547188648,0.00170560322244
what,-0.000496288551877,0.000336075547962,0.000832364099839
electrical,-0.000489439886605,0.000599322083274,0.00108876196988
proton,-0.000479696881804,0.000293212639475,0.000772909521279
a,-0.000456562480855,0.0364721626272,0.036928725108
scientist,-0.000450686037175,0.000203314326984,0.000654000364159
two,-0.000433097717273,0.00179644897872,0.002229546696
get,-0.000432436593115,0.000132381903204,0.000564818496319
together,-0.000427315853201,0.000237832244438,0.000665148097639
usually,-0.00041439118848,0.000726393537639,0.00114078472612
down,-0.000414327752021,0.000291695368378,0.000706023120399
charge,-0.000409677826888,0.000757118277351,0.00116679610424
them,-0.000397005707098,0.00057656301682,0.000973568723919
idea,-0.000392369411938,0.000202176373661,0.000594545785599
plant,-0.000380435082437,0.000477940395522,0.000858375477959
kind,-0.000380322540019,0.00017334822282,0.000553670762839
speed,-0.000368318159223,0.000835637056615,0.00120395521584
come,-0.00036817034097,0.000222659533469,0.000590829874439
water,-0.000364665484372,0.000869017020747,0.00123368250512
nucleus,-0.000361110921362,0.000441525889197,0.000802636810559
wave,-0.000353468544857,0.000798463914742,0.0011519324596
second,-0.000353328041967,0.000768877128352,0.00112220517032
certain,-0.000347890920361,0.000306109443799,0.000654000364159
machine,-0.000345165544571,0.000494630377588,0.000839795922159
doe,-0.000336862744435,0.000592115045564,0.000928977789999
amount,-0.000336356954045,0.000525734435074,0.000862091389119
measure,-0.000332718209392,0.000321282154768,0.000654000364159
place,-0.000329845215499,0.00029814377054,0.000627988986039
photon,-0.000325363653654,0.000317488977025,0.000642852630679
circuit,-0.000324787912044,0.000838292281035,0.00116308019308
moving,-0.000323010480426,0.000323558061413,0.000646568541839
more,-0.000320145402349,0.00208776502933,0.00240791043168
engine,-0.000315866679024,0.000364145063255,0.000680011742279
inside,-0.000315775282093,0.000204452280307,0.000520227562399
after,-0.000315389249407,0.000825395476711,0.00114078472612
another,-0.000314637528921,0.000606908438758,0.000921545967679
car,-0.000313077866776,0.000117967827784,0.00043104569456
physicist,-0.000299991453603,0.000231383842277,0.000531375295879
through,-0.000293290606584,0.00110760790073,0.00140089850732
know,-0.00029300208529,6.37253860696e-05,0.00035672747136
each,-0.000290228003843,0.00118498872668,0.00147521673052
need,-0.000288408281253,0.000380455727547,0.000668864008799
around,-0.000287748057773,0.000522320575106,0.000810068632879
calendar,-0.000286546968217,0.000690737666862,0.000977284635079
electronic,-0.000283182114133,0.000363386427707,0.000646568541839
show,-0.000279873581295,0.000288660826184,0.000568534407479
tell,-0.00027799793776,3.41385996802e-05,0.00031213653744
