term,term_difference,en_tf,sm_tf
is,-0.0103900836273,0.0265331504327,0.0369232340599
number,-0.00515254153935,0.00634660304686,0.0114991445862
it,-0.004099200035,0.00807235937157,0.0121715594066
or,-0.00314957382023,0.00573651570457,0.0088860895248
a,-0.0026585095061,0.0422400750181,0.0448985845242
this,-0.00194903180149,0.00648594398306,0.00843497578455
are,-0.00179437890355,0.00889616558222,0.0106905444858
we,-0.00178021359858,0.00154781418321,0.0033280277818
called,-0.00169843028257,0.00186792173935,0.00356635202193
used,-0.00156088214704,0.0024055141351,0.00396639628214
example,-0.00149881813982,0.00311445822267,0.00461327636249
can,-0.00148223350758,0.00552279683621,0.00700503034378
mathematics,-0.00144209112037,0.0016476124213,0.00308970354167
line,-0.00133420266492,0.00121075975645,0.00254496242137
they,-0.00133041067354,0.00141882966794,0.00274924034148
he,-0.00131624659465,0.00268419600751,0.00400044260216
you,-0.00129279264776,0.000205245433054,0.00149803808081
thing,-0.00124078167492,0.000206186925866,0.00144696860078
way,-0.00123295492842,0.000988567452782,0.0022215223812
how,-0.00115794243201,0.000501815668888,0.0016597581009
mathematician,-0.00112217782971,0.000750369771302,0.00187254760101
people,-0.00112083064082,0.000241022159916,0.00136185280074
if,-0.00108042423783,0.00429038274507,0.0053708069829
will,-0.00108012793529,0.00107330180588,0.00215342974116
mean,-0.00107435241976,0.000840753081271,0.00191510550103
not,-0.00103853904675,0.00485998589644,0.00589852494319
like,-0.00103030687663,0.000510289104198,0.00154059598083
same,-0.00100316651742,0.00141412220388,0.00241728872131
get,-0.000989200246026,0.000202420954617,0.00119162120064
time,-0.000972771734566,0.00138493592671,0.00235770766127
value,-0.000964143949473,0.00198937431212,0.00295351826159
there,-0.000936140157842,0.0022812370839,0.00321737724174
because,-0.000922059452362,0.0010441155287,0.00196617498106
say,-0.000897353542079,0.000387895038615,0.00128524858069
computer,-0.000881551012311,0.000659044968521,0.00154059598083
wa,-0.000875092161823,0.00363604524061,0.00451113740244
have,-0.000869077424571,0.00251001983725,0.00337909726182
one,-0.000848614157994,0.00426684542477,0.00511545958276
different,-0.000810684163096,0.000883120257818,0.00169380442091
rounding,-0.000789362777112,0.000138399443389,0.000927762220501
two,-0.000755855523373,0.00298923967865,0.00374509520202
equation,-0.000739725357921,0.00213718868363,0.00287691404155
make,-0.000721561399068,0.000623268241659,0.00134482964073
about,-0.000717502394822,0.000772024105982,0.0014895265008
something,-0.000707974803619,0.000126160036831,0.00083413484045
written,-0.000687705802524,0.000665635418206,0.00135334122073
true,-0.000685834941464,0.000880295779382,0.00156613072085
problem,-0.000685781130198,0.00191876235121,0.00260454348141
so,-0.000682627245073,0.00142824459607,0.00211087184114
also,-0.000668920902529,0.00279529215934,0.00346421306187
very,-0.000662235227337,0.000469804913274,0.00113204014061
would,-0.00063424356027,0.000974445060599,0.00160868862087
do,-0.000623824745513,0.000550773295121,0.00117459804063
word,-0.000620745378775,0.000707061101942,0.00132780648072
other,-0.000618806810881,0.00237726935074,0.00299607616162
an,-0.000613209621808,0.00659609864208,0.00720930826389
many,-0.000610094153841,0.00149226610729,0.00210236026114
decimal,-0.000602170410833,0.000572427629801,0.00117459804063
what,-0.00059636887518,0.000544182845436,0.00114055172062
change,-0.000594028153215,0.000444384607346,0.00103841276056
out,-0.00058111426671,0.000516879553883,0.00109799382059
math,-0.00057999594599,5.83725543547e-05,0.000638368500345
find,-0.000558658893434,0.000360591747062,0.000919250640496
made,-0.000542169759155,0.000479219841396,0.00102138960055
shape,-0.000541890621726,0.000207128418678,0.000749019040404
go,-0.000532323114824,0.000182649605562,0.000714972720386
